Variable Label,Variable Name,Variable Type
CG-5 Relationship with 1st Partner at 1st Sex,KNOWFP,raw
CG-6 Is 1st Sexual Partner a Current Sexual Partner,STILFPSX,raw
CG-7a Relationship with 1st Partner at Last Sex,FPOTHREL,raw
CG-7b Highest level of education-first sexual partner,FPEDUC,raw
CG-7f Relationship with 1st Partner at 1st Sex,FPRN,raw
CG-7m Month R Last Had Sex With 1st Sexual Partner,LSTSEXFP_M,raw
CG-7y Year R Last Had Sex With 1st Sexual Partner,LSTSEXFP_Y,raw
CG-8 First Sexual Intercourse Before or After Menarche,WHICH1ST,raw
CG-9 Whether R Had Sex Since menarche,SEXAFMEN,raw
CH-2 # of Male Sex Partners Prior to 1st Marriage (top-coded),PTSB4MAR,raw
CI_5 Has 2nd-to-last partner already been discussed?,MATCHHP2,raw
CI_5 Has 3rd-to-last recent partner already been discussed?,MATCHHP3,raw
CI_5 Has last partner already been discussed?,MATCHHP,raw
CI_6m Month of Last Sex-2nd-to-last Partner in Last 12 mos,P1YLSEX_M2,raw
CI_6m Month of Last Sex-3rd-to-last Partner in Last 12 mos,P1YLSEX_M3,raw
CI_6m Month of Last Sex-Last Partner in Last 12 mos,P1YLSEX_M,raw
CI_6y Year of Last Sex-2nd-to-last Partner in Last 12 mos,P1YLSEX_Y2,raw
CI_6y Year of Last Sex-3rd-to-last Partner in Last 12 mos,P1YLSEX_Y3,raw
CI_6y Year of Last Sex-Last Partner in Last 12 mos,P1YLSEX_Y,raw
CI-1 Is Rs One Partner in Last 12 Mos Her Current H/P,WHOSNC1Y,raw
CI-10 Partners Age at 1st Sex-2nd-to-last Partner in Last 12 mos,P1YHSAGE2,raw
CI-10 Partners Age at 1st Sex-3rd-to-last Partner in Last 12 mos,P1YHSAGE3,raw
CI-10 Partners Age at 1st Sex-Last in Last 12 mos,P1YHSAGE,raw
CI-11 Relationship at 1st Sex-2nd-to-last Partner in Last 12 mos,P1YRF2,raw
CI-11 Relationship at 1st Sex-3rd-to-last Partner in Last 12 mos,P1YRF3,raw
CI-11 Relationship at 1st Sex-Last Partner in Last 12 mos,P1YRF,raw
CI-12m Month of 1st Sex-2nd-to-last Partner in Last 12 mos,P1YFSEX_M2,raw
CI-12m Month of 1st Sex-3rd-to-last Partner in Last 12 mos,P1YFSEX_M3,raw
CI-12m Month of 1st Sex-Last Partner in Last 12 mos,P1YFSEX_M,raw
CI-12m Year of 1st Sex-2nd-to-last Partner in Last 12 mos,P1YFSEX_Y2,raw
CI-12m Year of 1st Sex-3rd-to-last Partner in Last 12 mos,P1YFSEX_Y3,raw
CI-12m Year of 1st Sex-Last Partner in Last 12 mos,P1YFSEX_Y,raw
CI-13 Highest Level of Education-2nd-to-last Partner in Last 12 mos,P1YEDUC2,raw
CI-13 Highest Level of Education-3rd-to-last Partner in Last 12 mos,P1YEDUC3,raw
CI-13 Highest Level of Education-Last Partner in Last 12 mos,P1YEDUC,raw
CI-16 Type of Current Relationship-2nd-to-last Partner in Last 12 mos,P1YRN2,raw
CI-16 Type of Current Relationship-3rd-to-last Partner in Last 12 mos,P1YRN3,raw
CI-16 Type of Current Relationship-Last Partner in Last 12 mos,P1YRN1,raw
CI-4 Is 2nd-to-last partner also first partner?,MATCHFP2,raw
CI-4 Is 3rd-to-last partner also first partner?,MATCHFP3,raw
CI-4 Is last partner also first partner?,MATCHFP,raw
CI-7 Whether a Current Sex Partner-2nd-to-last partner in last 12 mos,P1YCURRP2,raw
CI-7 Whether a Current Sex Partner-3rd-to-last partner in last 12 mos,P1YCURRP3,raw
CI-7 Whether a Current Sex Partner-last partner in last 12 mos,P1YCURRP1,raw
CI-8 Relationship at last Sex with last partner,P1YOTHREL,raw
CI-8 Relationship at last Sex with last partner with 2nd-to-last partner,P1YOTHREL2,raw
CI-8 Relationship at last Sex with last partner with 3rd-to-last partner,P1YOTHREL3,raw
CI-9 Age at 1st Sex-2nd-to-last Partner-Last 12 Months,P1YRAGE2,raw
CI-9 Age at 1st Sex-3rd-to-last Partner-Last 12 Months,P1YRAGE3,raw
CI-9 Age at 1st Sex-Last Partner-Last 12 Months,P1YRAGE,raw
CM Date of COVID vaccine (computed in FC J-23b),CMCOVVAX,computed
CM date of last or most recent sexual intercourse,LSEXDATE,recode
CM Date of last sex with 2nd-to-last sexual partner for Rs under 18 for CASI,CMCURRP2,computed
CM Date of last sex with 3rd-to-last sexual partner for Rs under 18 for CASI,CMCURRP3,computed
CM Date of last sex with most recent sexual partner for Rs under 18 for CASI,CMCURRP1,computed
CM for date of first method use (total universe) (FC E-18 and E-21),CMFIRSM,computed
CM for date of first or only sex with 2nd-to-last partner in last 12 months (FC C-78),CMFSEXTOT2,computed
CM for date of first or only sex with 3rd-to-last partner in last 12 months (FC C-78),CMFSEXTOT3,computed
CM for date of first or only sex with most recent partner (FC C-78),CMFSEXTOT,computed
CM for Date of Last or Only Sex with 1st Sexual Partner (FC C-57),CMFPLAST,computed
CM for Date of Last Sex With 1st Sexual Partner (FC C-57),CMLSEXFP,computed
CM when first had sex with 2nd-to-last partner reported in last 12 mos (FC C-77),CMFSEX2,computed
CM when first had sex with 3rd-to-last partner reported in last 12 mos (FC C-77),CMFSEX3,computed
CM when first had sex with last partner reported in last 12 mos (FC C-77),CMFSEX,computed
CM when last had sex with 2nd-to-last partner reported in last 12 mos (FC C-71),CMLSEX2,computed
CM when last had sex with 3rd-to-last partner reported in last 12 mos (FC C-71),CMLSEX3,computed
CM when last had sex with last partner reported in last 12 mos (FC C-71),CMLSEX1,computed
COH1DUR imputation flag,COH1DUR_I,imputation flag
COHAB1 imputation flag,COHAB1_I,imputation flag
COHSTAT imputation flag,COHSTAT_I,imputation flag
CONSTAT1 imputation flag,CONSTAT1_I,recode
CONSTAT2 imputation flag,CONSTAT2_I,imputation flag
CONSTAT3 imputation flag,CONSTAT3_I,recode
CONSTAT4 imputation flag,CONSTAT4_I,imputation flag
CSPBIOKD imputation flag,CSPBIOKD_I,imputation flag
CURR_INS imputation flag,CURR_INS_I,imputation flag
Current contraceptive status - 1st priority,CONSTAT1,recode
Current contraceptive status - 2nd priority,CONSTAT2,imputation flag
Current contraceptive status - 3rd priority,CONSTAT3,recode
Current contraceptive status - 4th priority,CONSTAT4,imputation flag
Current health insurance coverage status,CURR_INS,recode
Current religious affiliation,RELIGION,recode
DA-1 R Ever Had Tubes Tied/Cut/Removed,EVERTUBS,raw
DA-10 R or her H/P had any problems w/other birth control methods used before having tubal sterilization,BCREAS,raw
DA-11 Type of problem R or H/P had with other birth control methods,BCWHYF,raw
DA-11b Main reason for R having her tubal sterilization,TUBLMAIN,raw
DA-12 How bill for tubal sterilization was paid - 1st mention,PAYTUBAL_1,raw
DA-12 How bill for tubal sterilization was paid - 2nd mention,PAYTUBAL_2,raw
DA-1y Year or R's tubal sterilization,TUBSDATE_Y,raw
DA-2 R Ever Had Hysterectomy,EVERHYST,raw
DA-2y Year of R's hysterectomy,HYSTDATE_Y,raw
DA-3 Hysterectomy and tubal done in same operation,SAMEOPER,raw
DA-4 Were ovaries or tubes removed during hysterectomy - 1st mention,OTHROPS1_1,raw
DA-4 Were ovaries or tubes removed during hysterectomy - 2nd mention,OTHROPS1_2,raw
DA-5 Were ovaries or tubes removed in other operation - 1st mention,OTHROPS2_1,raw
DA-5 Were ovaries or tubes removed in other operation - 2nd mention,OTHROPS2_2,raw
DA-6 Had this other surgery since January 4 years ago,OTHSTER,raw
DA-7 R had all the children she wanted at time of her tubal sterilization,RHADALL,raw
DA-8 R's H/P had all the children hhe wanted at time of tubal sterilization,HHADALL,raw
DA-9 R had any medical reasons for having her tubal sterilization,FMEDREAS,raw
Date of first intercourse (even if before first menstrual period),VRY1STSX,recode
Date R used first method for the first time,DATEUSE1,recode
DATEUSE1 imputation flag,DATEUSE1_I,imputation flag
DB-1 R's current H/P ever had a vasectomy,ANYVASEC,raw
DB-2y Year of vasectomy for R's current H/P,VASDATE_Y,raw
DB-3 was R in relationship w/ current H/P when he had vasectomy,WITHIMOP,raw
DB-4 Did R's current H/P have his vasectomy since January of 4 years ago,VASJAN4YR,raw
DB-5 How was bill for vasectomy paid - 1st mention,PAYVAS_1,raw
DB-5 How was bill for vasectomy paid - 2nd mention,PAYVAS_2,raw
DC-1 Ever had surgery to reverse tubal sterilization,REVSTUBL,raw
DC-2y Year of R's tubal sterilization reversal,DATRVSTB_Y,raw
DC-3 R's Current H/P Ever Had Surgery to Reverse Vasectomy,REVSVASX,raw
DC-4y Year of current H/Ps vasectomy reversal,DATRVVEX_Y,raw
DC-5 R Wants to Reverse Her Tubal Ligation,RWANTRVT,raw
DC-6 R's Current H/P Wants R to Reverse Her Tubal Ligation,MANWANTT,raw
DC-7 R Wants H/P to Reverse His Vasectomy,RWANTREV,raw
DC-8 R's current H/P Wants to Reverse His Vasectomy,MANWANTR,raw
DD-1 Physically Possible for R to Have a Baby,POSIBLPG,raw
DD-2 Main reason why impossible for R to have a baby,REASIMPR,raw
DD-3 Physically possible for R's current H/P to father a baby,POSIBLMN,raw
DD-4 Main reason why impossible for R's current H/P to father a baby,REASIMPP,raw
DE-1 Physically Difficult for R to Have a Baby,CANHAVER,raw
DE-2 Why physically difficult for R to have baby (1st mention),REASDIFF_1,raw
DE-2 Why physically difficult for R to have baby (2nd mention),REASDIFF_2,raw
DE-2 Why physically difficult for R to have baby (3rd mention),REASDIFF_3,raw
DE-2 Why physically difficult for R to have baby (4th mention),REASDIFF_4,raw
DE-2 Why physically difficult for R to have baby (5th mention),REASDIFF_5,raw
DE-3 R's current H/P has physical difficulty fathering a baby,CANHAVEM,raw
DE-4 Doctor Ever Advised R Never to Become Pregnant,PREGNONO,raw
DE-5 Why R was advised against pregnancy - 1st mention,REASNONO_1,raw
DE-5 Why R was advised against pregnancy - 2nd mention,REASNONO_2,raw
DE-5 Why R was advised against pregnancy - 3rd mention,REASNONO_3,raw
DE-6 Recency of last menstrual period,LASTPER,raw
DE-7 Tried to get pregnant within past 12 months,TRYPREG12,raw
Detailed wantedness of 10th pregnancy at time of conception -- Respondent,NWWANTRP10,computed in post-processing
Detailed wantedness of 11th pregnancy at time of conception -- Respondent,NWWANTRP11,computed in post-processing
Detailed wantedness of 12th pregnancy at time of conception -- Respondent,NWWANTRP12,computed in post-processing
Detailed wantedness of 13th pregnancy at time of conception -- Respondent,NWWANTRP13,computed in post-processing
Detailed wantedness of 14th pregnancy at time of conception -- Respondent,NWWANTRP14,computed in post-processing
Detailed wantedness of 15th pregnancy at time of conception -- Respondent,NWWANTRP15,computed in post-processing
Detailed wantedness of 16th pregnancy at time of conception -- Respondent,NWWANTRP16,computed in post-processing
Detailed wantedness of 1st pregnancy at time of conception -- Respondent,NWWANTRP1,computed in post-processing
Detailed wantedness of 2nd pregnancy at time of conception -- Respondent,NWWANTRP2,computed in post-processing
Detailed wantedness of 3rd pregnancy at time of conception -- Respondent,NWWANTRP3,computed in post-processing
Detailed wantedness of 4th pregnancy at time of conception -- Respondent,NWWANTRP4,computed in post-processing
Detailed wantedness of 5th pregnancy at time of conception -- Respondent,NWWANTRP5,computed in post-processing
Detailed wantedness of 6th pregnancy at time of conception -- Respondent,NWWANTRP6,computed in post-processing
Detailed wantedness of 7th pregnancy at time of conception -- Respondent,NWWANTRP7,computed in post-processing
Detailed wantedness of 8th pregnancy at time of conception -- Respondent,NWWANTRP8,computed in post-processing
Detailed wantedness of 9th pregnancy at time of conception -- Respondent,NWWANTRP9,computed in post-processing
Device used to complete web main interview,DEVICE_TYPE,computed
Duration (in months) of R's first cohabitation to a man,COH1DUR,recode
EA-1 R ever used Birth Control Pills?,PILL,raw
EA-10 R ever used contraceptive ring?,RING,raw
EA-11 R ever used emergency contraception?,MORNPILL,raw
EA-12 Number of times R used emergency contraception,ECTIMESX,raw
EA-13a Where R last got emergency contraception,ECWHERE,raw
EA-13aa Where R last got emergency contraception,ECRX,raw
EA-13b When R last got emergency contraception,ECWHEN,raw
EA-13c R ever used a hormonal implant,IMPLANT,raw
EA-13d R ever used an IUD (intrauterine device),IUD,raw
EA-13e Types of IUD ever used-1st mention,EVIUDTYP1,raw
EA-13e Types of IUD ever used-2nd mention,EVIUDTYP2,raw
EA-13f Copper IUD as emergency contraception,EVCIUDEC,raw
EA-14 Any other methods R used for contraception (if any)-1st mention,OTHRMETH01,raw
EA-14 Any other methods R used for contraception (if any)-2nd mention,OTHRMETH02,raw
EA-14 Any other methods R used for contraception (if any)-3rd mention,OTHRMETH03,raw
EA-14 Any other methods R used for contraception (if any)-4th mention,OTHRMETH04,raw
EA-14 Any other methods R used for contraception (if any)-5th mention,OTHRMETH05,raw
EA-14 Any other methods R used for contraception (if any)-6th mention,OTHRMETH06,raw
EA-16 R ever stop using method because dissatisfied with it,METHDISS,raw
EA-17 Method Stopped Using Due to Dissatisfaction-1st Method,METHSTOP01,raw
EA-17 Method Stopped Using Due to Dissatisfaction-2nd Method,METHSTOP02,raw
EA-17 Method Stopped Using Due to Dissatisfaction-3rd Method,METHSTOP03,raw
EA-17 Method Stopped Using Due to Dissatisfaction-4th Method,METHSTOP04,raw
EA-17 Method Stopped Using Due to Dissatisfaction-5th Method,METHSTOP05,raw
EA-17 Method Stopped Using Due to Dissatisfaction-6th Method,METHSTOP06,raw
EA-17 Method Stopped Using Due to Dissatisfaction-7th Method,METHSTOP07,raw
EA-17 Method Stopped Using Due to Dissatisfaction-8th Method,METHSTOP08,raw
EA-17 Method Stopped Using Due to Dissatisfaction-9th Method,METHSTOP09,raw
EA-17a Whether discontinued pill within past 12 months,WHENPILL,raw
"EA-18 Reason Dissatisfied with Pill, 1st reason",REASPILL01,raw
"EA-18 Reason Dissatisfied with Pill, 2nd reason",REASPILL02,raw
"EA-18 Reason Dissatisfied with Pill, 3rd reason",REASPILL03,raw
"EA-18 Reason Dissatisfied with Pill, 4th reason",REASPILL04,raw
"EA-18 Reason Dissatisfied with Pill, 5th reason",REASPILL05,raw
"EA-18 Reason Dissatisfied with Pill, 6th reason",REASPILL06,raw
"EA-18 Reason Dissatisfied with Pill, 7th reason",REASPILL07,raw
EA-18e Whether discontinued condom within past 12 months,WHENCOND,raw
"EA-19 Reason Dissatisfied with condoms, 1st reason",REASCOND01,raw
"EA-19 Reason Dissatisfied with condoms, 2nd reason",REASCOND02,raw
"EA-19 Reason Dissatisfied with condoms, 3rd reason",REASCOND03,raw
"EA-19 Reason Dissatisfied with condoms, 4th reason",REASCOND04,raw
"EA-19 Reason Dissatisfied with condoms, 5th reason",REASCOND05,raw
"EA-19 Reason Dissatisfied with condoms, 6th reason",REASCOND06,raw
"EA-19 Reason Dissatisfied with condoms, 7th reason",REASCOND07,raw
"EA-19 Reason Dissatisfied with condoms, 8th reason",REASCOND08,raw
EA-2 R ever used Condoms?,CONDOM,raw
EA-20e Whether discontinued IUD within past 12 months,WHENIUD,raw
EA-21 Discontinued use of IUD Type-1st mention,TYPEIUD_1,raw
EA-21 Discontinued use of IUD Type-2nd mention,TYPEIUD_2,raw
"EA-21 Reason Dissatisfied with IUD, 1st reason",REASIUD01,raw
"EA-21 Reason Dissatisfied with IUD, 2nd reason",REASIUD02,raw
"EA-21 Reason Dissatisfied with IUD, 3rd reason",REASIUD03,raw
"EA-21 Reason Dissatisfied with IUD, 4th reason",REASIUD04,raw
"EA-21 Reason Dissatisfied with IUD, 5th reason",REASIUD05,raw
"EA-21 Reason Dissatisfied with IUD, 6th reason",REASIUD06,raw
EA-3 R ever used partners vasectomy?,VASECTMY,raw
"EA-4 R ever used Depo-Provera, Injectables?",DEPOPROV,raw
EA-6 R ever used withdrawal?,WIDRAWAL,raw
EA-7a R ever used Calendar rhythm method?,RHYTHM,raw
EA-7b R ever used Standard Days or CycleBeads method?,SDAYCBDS,raw
EA-8 R ever used Safe period by temperature or cervical mucus test?,TEMPSAFE,raw
EA-8b R ever used the Natural Cycles app to prevent pregnancy?,NATCYCA,raw
EA-9 R ever used contraceptive patch?,PATCH,raw
EB-1 First method ever used - 1st mention,FIRSMETH1,raw
EB-1 First method ever used - 2nd mention,FIRSMETH2,raw
EB-1 First method ever used - 3rd mention,FIRSMETH3,raw
EB-1 First method ever used - 4th mention,FIRSMETH4,raw
EB-2 when 1st method use vis-a-vis 1st sex (noncontinuous meth),FIRSTIME1,raw
EB-2 when first method use vis-a-vis 1st sex (continuous method),FIRSTIME2,raw
EB-3m Month R First Used a Method,WNFSTUSE_M,raw
EB-3y Year R First Used a Method,WNFSTUSE_Y,raw
EB-4 Age When First Used Method,AGEFSTUS,raw
EB-6 R Use Any Method at First Sex (1st meth use was bef 1st sx),USEFRSTS,raw
EB-8 Method Used at First Sex-1st mention,MTHFRSTS1,raw
EB-8 Method Used at First Sex-2nd mention,MTHFRSTS2,raw
EB-8 Method Used at First Sex-3rd mention,MTHFRSTS3,raw
EB-8 Method Used at First Sex-4th mention,MTHFRSTS4,raw
"EC-3 Any times since [Jan,intvw yr-3/date 1st sex] no sex for 1 mon?",INTR_EC3,raw
EC-8 Sex in April [intvw yr]?,MONSX40,raw
EC-8 Sex in April [intvw yr-1]?,MONSX28,raw
EC-8 Sex in April [intvw yr-2]?,MONSX16,raw
EC-8 Sex in April [intvw yr-3]?,MONSX4,raw
EC-8 Sex in August [intvw yr]?,MONSX44,raw
EC-8 Sex in August [intvw yr-1]?,MONSX32,raw
EC-8 Sex in August [intvw yr-2]?,MONSX20,raw
EC-8 Sex in August [intvw yr-3]?,MONSX8,raw
EC-8 Sex in December [intvw yr]?,MONSX48,raw
EC-8 Sex in December [intvw yr-1]?,MONSX36,raw
EC-8 Sex in December [intvw yr-2]?,MONSX24,raw
EC-8 Sex in December [intvw yr-3]?,MONSX12,raw
EC-8 Sex in February [intvw yr]?,MONSX38,raw
EC-8 Sex in February [intvw yr-1]?,MONSX26,raw
EC-8 Sex in February [intvw yr-2]?,MONSX14,raw
EC-8 Sex in February [intvw yr-3]?,MONSX2,raw
EC-8 Sex in January [intvw yr]?,MONSX37,raw
EC-8 Sex in January [intvw yr-1]?,MONSX25,raw
EC-8 Sex in January [intvw yr-2]?,MONSX13,raw
EC-8 Sex in January [intvw yr-3]?,MONSX,raw
EC-8 Sex in July [intvw yr]?,MONSX43,raw
EC-8 Sex in July [intvw yr-1]?,MONSX31,raw
EC-8 Sex in July [intvw yr-2]?,MONSX19,raw
EC-8 Sex in July [intvw yr-3]?,MONSX7,raw
EC-8 Sex in June [intvw yr]?,MONSX42,raw
EC-8 Sex in June [intvw yr-]?,MONSX18,raw
EC-8 Sex in June [intvw yr-1]?,MONSX30,raw
EC-8 Sex in June [intvw yr-3]?,MONSX6,raw
EC-8 Sex in March [intvw yr]?,MONSX39,raw
EC-8 Sex in March [intvw yr-1]?,MONSX27,raw
EC-8 Sex in March [intvw yr-2]?,MONSX15,raw
EC-8 Sex in March [intvw yr-3]?,MONSX3,raw
EC-8 Sex in May [intvw yr]?,MONSX41,raw
EC-8 Sex in May [intvw yr-1]?,MONSX29,raw
EC-8 Sex in May [intvw yr-2]?,MONSX17,raw
EC-8 Sex in May [intvw yr-3]?,MONSX5,raw
EC-8 Sex in November [intvw yr]?,MONSX47,raw
EC-8 Sex in November [intvw yr-1]?,MONSX35,raw
EC-8 Sex in November [intvw yr-2]?,MONSX23,raw
EC-8 Sex in November [intvw yr-3]?,MONSX11,raw
EC-8 Sex in October [intvw yr]?,MONSX46,raw
EC-8 Sex in October [intvw yr-1]?,MONSX34,raw
EC-8 Sex in October [intvw yr-2]?,MONSX22,raw
EC-8 Sex in October [intvw yr-3]?,MONSX10,raw
EC-8 Sex in September [intvw yr]?,MONSX45,raw
EC-8 Sex in September [intvw yr-]?,MONSX21,raw
EC-8 Sex in September [intvw yr-1]?,MONSX33,raw
EC-8 Sex in September [intvw yr-3]?,MONSX9,raw
ED-10 Use Methods Together or at Different Times - April [interview yr],SIMSEQX40,raw
ED-10 Use Methods Together or at Different Times - April [interview yr-1],SIMSEQX28,raw
ED-10 Use Methods Together or at Different Times - April [interview yr-2],SIMSEQX16,raw
ED-10 Use Methods Together or at Different Times - April [interview yr-3],SIMSEQX4,raw
ED-10 Use Methods Together or at Different Times - Aug [interview yr],SIMSEQX44,raw
ED-10 Use Methods Together or at Different Times - Aug [interview yr-1],SIMSEQX32,raw
ED-10 Use Methods Together or at Different Times - Aug [interview yr-2],SIMSEQX20,raw
ED-10 Use Methods Together or at Different Times - Aug [interview yr-3],SIMSEQX8,raw
ED-10 Use Methods Together or at Different Times - Dec [interview yr],SIMSEQX48,raw
ED-10 Use Methods Together or at Different Times - Dec [interview yr-1],SIMSEQX36,raw
ED-10 Use Methods Together or at Different Times - Dec [interview yr-2],SIMSEQX24,raw
ED-10 Use Methods Together or at Different Times - Dec [interview yr-3],SIMSEQX12,raw
ED-10 Use Methods Together or at Different Times - Feb [interview yr],SIMSEQX38,raw
ED-10 Use Methods Together or at Different Times - Feb [interview yr-1],SIMSEQX26,raw
ED-10 Use Methods Together or at Different Times - Feb [interview yr-2],SIMSEQX14,raw
ED-10 Use Methods Together or at Different Times - Feb [interview yr-3],SIMSEQX2,raw
ED-10 Use Methods Together or at Different Times - Jan [interview yr],SIMSEQX37,raw
ED-10 Use Methods Together or at Different Times - Jan [interview yr-1],SIMSEQX25,raw
ED-10 Use Methods Together or at Different Times - Jan [interview yr-2],SIMSEQX13,raw
ED-10 Use Methods Together or at Different Times - Jan [interview yr-3],SIMSEQX1,raw
ED-10 Use Methods Together or at Different Times - July [interview yr],SIMSEQX43,raw
ED-10 Use Methods Together or at Different Times - July [interview yr-1],SIMSEQX31,raw
ED-10 Use Methods Together or at Different Times - July [interview yr-2],SIMSEQX19,raw
ED-10 Use Methods Together or at Different Times - July [interview yr-3],SIMSEQX7,raw
ED-10 Use Methods Together or at Different Times - June [interview yr],SIMSEQX42,raw
ED-10 Use Methods Together or at Different Times - June [interview yr-1],SIMSEQX30,raw
ED-10 Use Methods Together or at Different Times - June [interview yr-2],SIMSEQX18,raw
ED-10 Use Methods Together or at Different Times - June [interview yr-3],SIMSEQX6,raw
ED-10 Use Methods Together or at Different Times - Mar [interview yr],SIMSEQX39,raw
ED-10 Use Methods Together or at Different Times - Mar [interview yr-1],SIMSEQX27,raw
ED-10 Use Methods Together or at Different Times - Mar [interview yr-2],SIMSEQX15,raw
ED-10 Use Methods Together or at Different Times - Mar [interview yr-3],SIMSEQX3,raw
ED-10 Use Methods Together or at Different Times - May [interview yr],SIMSEQX41,raw
ED-10 Use Methods Together or at Different Times - May [interview yr-1],SIMSEQX29,raw
ED-10 Use Methods Together or at Different Times - May [interview yr-2],SIMSEQX17,raw
ED-10 Use Methods Together or at Different Times - May [interview yr-3],SIMSEQX5,raw
ED-10 Use Methods Together or at Different Times - Nov [interview yr],SIMSEQX47,raw
ED-10 Use Methods Together or at Different Times - Nov [interview yr-1],SIMSEQX35,raw
ED-10 Use Methods Together or at Different Times - Nov [interview yr-2],SIMSEQX23,raw
ED-10 Use Methods Together or at Different Times - Nov [interview yr-3],SIMSEQX11,raw
ED-10 Use Methods Together or at Different Times - Oct [interview yr],SIMSEQX46,raw
ED-10 Use Methods Together or at Different Times - Oct [interview yr-1],SIMSEQX34,raw
ED-10 Use Methods Together or at Different Times - Oct [interview yr-2],SIMSEQX22,raw
ED-10 Use Methods Together or at Different Times - Oct [interview yr-3],SIMSEQX10,raw
ED-10 Use Methods Together or at Different Times - Sept [interview yr],SIMSEQX45,raw
ED-10 Use Methods Together or at Different Times - Sept [interview yr-1],SIMSEQX33,raw
ED-10 Use Methods Together or at Different Times - Sept [interview yr-2],SIMSEQX21,raw
ED-10 Use Methods Together or at Different Times - Sept [interview yr-3],SIMSEQX9,raw
ED-4a R used methods other than hysterectomy during MH Calendar period,INTR_ED4A,raw
ED-6 Method(s) used in Apr [interview yr] - 1st mention,METHX157,raw
ED-6 Method(s) used in Apr [interview yr] - 2nd mention,METHX158,raw
ED-6 Method(s) used in Apr [interview yr] - 3rd mention,METHX159,raw
ED-6 Method(s) used in Apr [interview yr] - 4th mention,METHX160,raw
ED-6 Method(s) used in Apr [interview yr-1] - 1st mention,METHX109,raw
ED-6 Method(s) used in Apr [interview yr-1] - 2nd mention,METHX110,raw
ED-6 Method(s) used in Apr [interview yr-1] - 3rd mention,METHX111,raw
ED-6 Method(s) used in Apr [interview yr-1] - 4th mention,METHX112,raw
ED-6 Method(s) used in Apr [interview yr-2] - 1st mention,METHX61,raw
ED-6 Method(s) used in Apr [interview yr-2] - 2nd mention,METHX62,raw
ED-6 Method(s) used in Apr [interview yr-2] - 3rd mention,METHX63,raw
ED-6 Method(s) used in Apr [interview yr-2] - 4th mention,METHX64,raw
ED-6 Method(s) used in Apr [interview yr-3] - 1st mention,METHX13,raw
ED-6 Method(s) used in Apr [interview yr-3] - 2nd mention,METHX14,raw
ED-6 Method(s) used in Apr [interview yr-3] - 3rd mention,METHX15,raw
ED-6 Method(s) used in Apr [interview yr-3] - 4th mention,METHX16,raw
ED-6 Method(s) used in Aug [interview yr] - 1st mention,METHX173,raw
ED-6 Method(s) used in Aug [interview yr] - 2nd mention,METHX174,raw
ED-6 Method(s) used in Aug [interview yr] - 3rd mention,METHX175,raw
ED-6 Method(s) used in Aug [interview yr] - 4th mention,METHX176,raw
ED-6 Method(s) used in Aug [interview yr-1] - 1st mention,METHX125,raw
ED-6 Method(s) used in Aug [interview yr-1] - 2nd mention,METHX126,raw
ED-6 Method(s) used in Aug [interview yr-1] - 3rd mention,METHX127,raw
ED-6 Method(s) used in Aug [interview yr-1] - 4th mention,METHX128,raw
ED-6 Method(s) used in Aug [interview yr-2] - 1st mention,METHX77,raw
ED-6 Method(s) used in Aug [interview yr-2] - 2nd mention,METHX78,raw
ED-6 Method(s) used in Aug [interview yr-2] - 3rd mention,METHX79,raw
ED-6 Method(s) used in Aug [interview yr-2] - 4th mention,METHX80,raw
ED-6 Method(s) used in Aug [interview yr-3] - 1st mention,METHX29,raw
ED-6 Method(s) used in Aug [interview yr-3] - 2nd mention,METHX30,raw
ED-6 Method(s) used in Aug [interview yr-3] - 3rd mention,METHX31,raw
ED-6 Method(s) used in Aug [interview yr-3] - 4th mention,METHX32,raw
ED-6 Method(s) used in Dec [interview yr] - 1st mention,METHX189,raw
ED-6 Method(s) used in Dec [interview yr] - 2nd mention,METHX190,raw
ED-6 Method(s) used in Dec [interview yr] - 3rd mention,METHX191,raw
ED-6 Method(s) used in Dec [interview yr] - 4th mention,METHX192,raw
ED-6 Method(s) used in Dec [interview yr-1] - 1st mention,METHX141,raw
ED-6 Method(s) used in Dec [interview yr-1] - 2nd mention,METHX142,raw
ED-6 Method(s) used in Dec [interview yr-1] - 3rd mention,METHX143,raw
ED-6 Method(s) used in Dec [interview yr-1] - 4th mention,METHX144,raw
ED-6 Method(s) used in Dec [interview yr-2] - 1st mention,METHX93,raw
ED-6 Method(s) used in Dec [interview yr-2] - 2nd mention,METHX94,raw
ED-6 Method(s) used in Dec [interview yr-2] - 3rd mention,METHX95,raw
ED-6 Method(s) used in Dec [interview yr-2] - 4th mention,METHX96,raw
ED-6 Method(s) used in Dec [interview yr-3] - 1st mention,METHX45,raw
ED-6 Method(s) used in Dec [interview yr-3] - 2nd mention,METHX46,raw
ED-6 Method(s) used in Dec [interview yr-3] - 3rd mention,METHX47,raw
ED-6 Method(s) used in Dec [interview yr-3] - 4th mention,METHX48,raw
ED-6 Method(s) used in Feb [interview yr] - 1st mention,METHX149,raw
ED-6 Method(s) used in Feb [interview yr] - 2nd mention,METHX150,raw
ED-6 Method(s) used in Feb [interview yr] - 3rd mention,METHX151,raw
ED-6 Method(s) used in Feb [interview yr] - 4th mention,METHX152,raw
ED-6 Method(s) used in Feb [interview yr-1] - 1st mention,METHX101,raw
